description_id,classification_text,description,product_category,confidence,classification_method,llm_product_category,llm_confidence,rule_category,qa_rule_category
3562,SET 10 LIGHTS NIGHT OWL,SET 10 LIGHTS NIGHT OWL,Lighting & Candles,High,LLM only,Lighting & Candles,High,,
3563,SET 10 MINI SANTA & SNOWMAN 17087,SET 10 MINI SANTA & SNOWMAN 17087,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,
3564,SET 10 MINICARDS CUTE SNOWMAN 17071,SET 10 MINICARDS CUTE SNOWMAN 17071,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,
3565,SET 10 XMAS CARDS & BADGES 17070,SET 10 XMAS CARDS & BADGES 17070,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
3566,SET 12 COLOUR PENCILS DOLLY GIRL,SET 12 COLOUR PENCILS DOLLY GIRL,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
3567,SET 12 COLOUR PENCILS LOVE LONDON,SET 12 COLOUR PENCILS LOVE LONDON,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
3568,SET 12 COLOUR PENCILS SPACEBOY,SET 12 COLOUR PENCILS SPACEBOY,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
3569,SET 12 COLOURING PENCILS DOILY,SET 12 COLOURING PENCILS DOILY,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
3570,SET 12 KIDS COLOUR CHALK STICKS,SET 12 KIDS COLOUR CHALK STICKS,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
3571,SET 12 KIDS WHITE CHALK STICKS,SET 12 KIDS WHITE CHALK STICKS,Toys & Children,High,LLM only,Toys & Children,High,,
3572,SET 12 LAVENDER BOTANICAL T-LIGHTS,SET 12 LAVENDER BOTANICAL T-LIGHTS,Lighting & Candles,High,LLM only,Lighting & Candles,High,,
3573,SET 12 PEAR BOTANICAL T-LIGHTS,SET 12 PEAR BOTANICAL T-LIGHTS,Lighting & Candles,High,LLM only,Lighting & Candles,High,,
3574,SET 12 RETRO WHITE CHALK STICKS,SET 12 RETRO WHITE CHALK STICKS,Toys & Children,High,LLM only,Toys & Children,High,,
3575,SET 12 VINTAGE DOILY CHALK,SET 12 VINTAGE DOILY CHALK,Toys & Children,High,LLM only,Toys & Children,High,,
3576,SET 12 WILDFLOWER BOTANICAL T-LIGHT,SET 12 WILDFLOWER BOTANICAL T-LIGHT,Lighting & Candles,High,LLM + rule agreement,Lighting & Candles,High,Lighting & Candles,
3577,SET 2 PANTRY DESIGN TEA TOWELS,SET 2 PANTRY DESIGN TEA TOWELS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3578,SET 2 TEA TOWELS I LOVE LONDON,SET 2 TEA TOWELS I LOVE LONDON,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3579,SET 20 NAPKINS FAIRY CAKES DESIGN,SET 20 NAPKINS FAIRY CAKES DESIGN,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3580,SET 3 JARDIN DE FEMME SCENT CANDLES,SET 3 JARDIN DE FEMME SCENT CANDLES,Lighting & Candles,High,LLM only,Lighting & Candles,High,,
3581,SET 3 PAPER VINTAGE CHICK PAPER EGG,SET 3 PAPER VINTAGE CHICK PAPER EGG,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3582,"SET 3 RETROSPOT TEA,COFFEE,SUGAR","SET 3 RETROSPOT TEA,COFFEE,SUGAR",Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3583,SET 3 SONG BIRD PAPER EGGS ASSORTED,SET 3 SONG BIRD PAPER EGGS ASSORTED,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3584,SET 3 WICKER LOG BASKETS,SET 3 WICKER LOG BASKETS,"Bags, Storage & Travel",High,LLM only,"Bags, Storage & Travel",High,,
3585,SET 3 WICKER OVAL BASKETS W LIDS,SET 3 WICKER OVAL BASKETS W LIDS,"Bags, Storage & Travel",High,LLM only,"Bags, Storage & Travel",High,,
3586,SET 3 WICKER STORAGE BASKETS,SET 3 WICKER STORAGE BASKETS,"Bags, Storage & Travel",High,LLM only,"Bags, Storage & Travel",High,,
3587,SET 36 COLOUR PENCILS DOLLY GIRL,SET 36 COLOUR PENCILS DOLLY GIRL,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
3588,SET 36 COLOUR PENCILS LOVE LONDON,SET 36 COLOUR PENCILS LOVE LONDON,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
3589,SET 36 COLOUR PENCILS SPACEBOY,SET 36 COLOUR PENCILS SPACEBOY,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
3590,SET 36 COLOURING PENCILS DOILY,SET 36 COLOURING PENCILS DOILY,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
3591,SET 4 EASTER DECOUPAGE OVAL BOXES,SET 4 EASTER DECOUPAGE OVAL BOXES,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
3592,SET 4 NURSERY DES ROUND BOXES,SET 4 NURSERY DES ROUND BOXES,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,
3593,SET 4 PICNIC CUTLERY BLUEBERRY,SET 4 PICNIC CUTLERY BLUEBERRY,Kitchen & Dining,High,LLM + rule agreement,Kitchen & Dining,High,Kitchen & Dining,
3594,SET 4 PICNIC CUTLERY CHERRY,SET 4 PICNIC CUTLERY CHERRY,Kitchen & Dining,High,LLM + rule agreement,Kitchen & Dining,High,Kitchen & Dining,
3595,SET 4 PICNIC CUTLERY FONDANT,SET 4 PICNIC CUTLERY FONDANT,Kitchen & Dining,High,LLM + rule agreement,Kitchen & Dining,High,Kitchen & Dining,
3596,SET 40 HEART SHAPE PETIT FOUR CASES,SET 40 HEART SHAPE PETIT FOUR CASES,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,
3597,SET 5 MINI CHOCOLATE FRIDGE MAGNETS,SET 5 MINI CHOCOLATE FRIDGE MAGNETS,Other / Unclear,Medium,LLM only,Other / Unclear,Medium,,
3598,SET 5 MINI DOUGHNUT FRIDGE MAGNET,SET 5 MINI DOUGHNUT FRIDGE MAGNET,Other / Unclear,Medium,LLM only,Other / Unclear,Medium,,
3599,SET 5 MINI GATEAUX FRIDGE MAGNETS,SET 5 MINI GATEAUX FRIDGE MAGNETS,Other / Unclear,Medium,LLM only,Other / Unclear,Medium,,
3600,SET 6 CARDS SPARKLY REINDEER 17262,SET 6 CARDS SPARKLY REINDEER 17262,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,
3601,SET 6 FOOTBALL CELEBRATION CANDLES,SET 6 FOOTBALL CELEBRATION CANDLES,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,
3602,SET 6 PAPER TABLE LANTERN HEARTS,SET 6 PAPER TABLE LANTERN HEARTS,Lighting & Candles,High,LLM + rule agreement,Lighting & Candles,High,Lighting & Candles,
3603,SET 6 PAPER TABLE LANTERN STARS,SET 6 PAPER TABLE LANTERN STARS,Lighting & Candles,High,LLM + rule agreement,Lighting & Candles,High,Lighting & Candles,
3604,SET 6 SCHOOL MILK BOTTLES IN CRATE,SET 6 SCHOOL MILK BOTTLES IN CRATE,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3605,SET 7 BABUSHKA NESTING BOXES,SET 7 BABUSHKA NESTING BOXES,"Bags, Storage & Travel",High,LLM only,"Bags, Storage & Travel",High,,
3606,SET 8 CANDLES VINTAGE DOILY,SET 8 CANDLES VINTAGE DOILY,Lighting & Candles,High,LLM only,Lighting & Candles,High,,
3607,SET OF 10 LANTERNS FAIRY LIGHT STAR,SET OF 10 LANTERNS FAIRY LIGHT STAR,Lighting & Candles,High,LLM + rule agreement,Lighting & Candles,High,Lighting & Candles,
3608,SET OF 10 LED DOLLY LIGHTS,SET OF 10 LED DOLLY LIGHTS,Lighting & Candles,High,LLM only,Lighting & Candles,High,,
3609,SET OF 12 FAIRY CAKE BAKING CASES,SET OF 12 FAIRY CAKE BAKING CASES,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3610,SET OF 12 FORK CANDLES,SET OF 12 FORK CANDLES,Lighting & Candles,High,LLM only,Lighting & Candles,High,,
3611,SET OF 12 LILY BOTANICAL T-LIGHTS,SET OF 12 LILY BOTANICAL T-LIGHTS,Lighting & Candles,High,LLM only,Lighting & Candles,High,,
3612,SET OF 12 MINI BUNNIES IN A BUCKET,SET OF 12 MINI BUNNIES IN A BUCKET,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,
3613,SET OF 12 MINI LOAF BAKING CASES,SET OF 12 MINI LOAF BAKING CASES,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3614,SET OF 12 ROSE BOTANICAL T-LIGHTS,SET OF 12 ROSE BOTANICAL T-LIGHTS,Lighting & Candles,High,LLM only,Lighting & Candles,High,,
3615,SET OF 12 T-LIGHTS VINTAGE DOILY,SET OF 12 T-LIGHTS VINTAGE DOILY,Lighting & Candles,High,LLM only,Lighting & Candles,High,,
3616,SET OF 12 VINTAGE POSTCARD SET,SET OF 12 VINTAGE POSTCARD SET,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,
3617,SET OF 16 VINTAGE BLACK CUTLERY,SET OF 16 VINTAGE BLACK CUTLERY,Kitchen & Dining,High,LLM + rule agreement,Kitchen & Dining,High,Kitchen & Dining,
3618,SET OF 16 VINTAGE PISTACHIO CUTLERY,SET OF 16 VINTAGE PISTACHIO CUTLERY,Kitchen & Dining,High,LLM + rule agreement,Kitchen & Dining,High,Kitchen & Dining,
3619,SET OF 16 VINTAGE RED CUTLERY,SET OF 16 VINTAGE RED CUTLERY,Kitchen & Dining,High,LLM + rule agreement,Kitchen & Dining,High,Kitchen & Dining,
3620,SET OF 16 VINTAGE ROSE CUTLERY,SET OF 16 VINTAGE ROSE CUTLERY,Kitchen & Dining,High,LLM + rule agreement,Kitchen & Dining,High,Kitchen & Dining,
3621,SET OF 16 VINTAGE SKY BLUE CUTLERY,SET OF 16 VINTAGE SKY BLUE CUTLERY,Kitchen & Dining,High,LLM + rule agreement,Kitchen & Dining,High,Kitchen & Dining,
3622,SET OF 2 CERAMIC CHRISTMAS REINDEER,SET OF 2 CERAMIC CHRISTMAS REINDEER,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
3623,SET OF 2 CERAMIC CHRISTMAS TREES,SET OF 2 CERAMIC CHRISTMAS TREES,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
3624,SET OF 2 CERAMIC PAINTED HEARTS,SET OF 2 CERAMIC PAINTED HEARTS,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,
3625,SET OF 2 CHESTS CHOCOLAT AU LAIT,SET OF 2 CHESTS CHOCOLAT AU LAIT,Food & Beverage,High,LLM only,Food & Beverage,High,,
3626,SET OF 2 CHRISTMAS DECOUPAGE CANDLE,SET OF 2 CHRISTMAS DECOUPAGE CANDLE,Seasonal & Celebrations,High,Keyword rule override,Lighting & Candles,High,Seasonal & Celebrations,
3627,SET OF 2 FANCY FONT TEA TOWELS,SET OF 2 FANCY FONT TEA TOWELS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3628,SET OF 2 ROUND TINS CAMEMBERT,SET OF 2 ROUND TINS CAMEMBERT,Food & Beverage,High,LLM only,Food & Beverage,High,,
3629,SET OF 2 ROUND TINS DUTCH CHEESE,SET OF 2 ROUND TINS DUTCH CHEESE,Food & Beverage,High,LLM only,Food & Beverage,High,,
3630,SET OF 2 TEA TOWELS APPLE AND PEARS,SET OF 2 TEA TOWELS APPLE AND PEARS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3631,SET OF 2 TEA TOWELS PING MICROWAVE,SET OF 2 TEA TOWELS PING MICROWAVE,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3632,SET OF 2 TINS JARDIN DE PROVENCE,SET OF 2 TINS JARDIN DE PROVENCE,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3633,SET OF 2 TINS VINTAGE BATHROOM,SET OF 2 TINS VINTAGE BATHROOM,Bathroom & Personal Care,High,LLM only,Bathroom & Personal Care,High,,
3634,SET OF 2 TRAYS HOME SWEET HOME,SET OF 2 TRAYS HOME SWEET HOME,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3635,SET OF 2 WOODEN MARKET CRATES,SET OF 2 WOODEN MARKET CRATES,"Bags, Storage & Travel",High,LLM only,"Bags, Storage & Travel",High,,
3636,SET OF 20 KIDS COOKIE CUTTERS,SET OF 20 KIDS COOKIE CUTTERS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3637,SET OF 20 VINTAGE CHRISTMAS NAPKINS,SET OF 20 VINTAGE CHRISTMAS NAPKINS,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
3638,SET OF 3 BIRD L.BLUE FEATHER,SET OF 3 BIRD L.BLUE FEATHER,Other / Unclear,High,LLM only,Other / Unclear,High,,
3639,SET OF 3 BIRD LIGHT PINK FEATHER,SET OF 3 BIRD LIGHT PINK FEATHER,Other / Unclear,High,LLM only,Other / Unclear,High,,
3640,SET OF 3 BLACK FLYING DUCKS,SET OF 3 BLACK FLYING DUCKS,Home Decor & Furnishings,High,QA keyword correction,Other / Unclear,High,,Home Decor & Furnishings
3641,SET OF 3 BLUE STRIPE BASKET,SET OF 3 BLUE STRIPE BASKET,"Bags, Storage & Travel",High,LLM only,"Bags, Storage & Travel",High,,
3642,SET OF 3 BUTTERFLY COOKIE CUTTERS,SET OF 3 BUTTERFLY COOKIE CUTTERS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3643,SET OF 3 CAKE TINS PANTRY DESIGN,SET OF 3 CAKE TINS PANTRY DESIGN,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3644,SET OF 3 CAKE TINS SKETCHBOOK,SET OF 3 CAKE TINS SKETCHBOOK,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3645,SET OF 3 CASES WOODLAND DESIGN,SET OF 3 CASES WOODLAND DESIGN,"Bags, Storage & Travel",High,LLM only,"Bags, Storage & Travel",High,,
3646,SET OF 3 CHRISTMAS BRIAR CANDLES,SET OF 3 CHRISTMAS BRIAR CANDLES,Seasonal & Celebrations,High,Keyword rule override,Lighting & Candles,High,Seasonal & Celebrations,
3647,SET OF 3 COLOURED FLYING DUCKS,SET OF 3 COLOURED FLYING DUCKS,Home Decor & Furnishings,High,QA keyword correction,Other / Unclear,Medium,,Home Decor & Furnishings
3648,SET OF 3 CONEY ISLAND OVAL BOXES,SET OF 3 CONEY ISLAND OVAL BOXES,"Bags, Storage & Travel",High,LLM only,"Bags, Storage & Travel",High,,
3649,SET OF 3 DANISH ROSE PLANTERS,SET OF 3 DANISH ROSE PLANTERS,Garden & Outdoor,High,LLM only,Garden & Outdoor,High,,
3650,SET OF 3 GOLD FLYING DUCKS,SET OF 3 GOLD FLYING DUCKS,Home Decor & Furnishings,High,QA keyword correction,Other / Unclear,Medium,,Home Decor & Furnishings
3651,SET OF 3 HANGING OWLS OLLIE BEAK,SET OF 3 HANGING OWLS OLLIE BEAK,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
3652,SET OF 3 HEART COOKIE CUTTERS,SET OF 3 HEART COOKIE CUTTERS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3653,SET OF 3 NOTEBOOKS IN PARCEL,SET OF 3 NOTEBOOKS IN PARCEL,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
3654,SET OF 3 PANTRY WOODEN SPOONS,SET OF 3 PANTRY WOODEN SPOONS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3655,SET OF 3 PINK FLYING DUCKS,SET OF 3 PINK FLYING DUCKS,Home Decor & Furnishings,High,QA keyword correction,Other / Unclear,Medium,,Home Decor & Furnishings
3656,SET OF 3 RABBIT CARROTS EASTER,SET OF 3 RABBIT CARROTS EASTER,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
3657,SET OF 3 RABBIT EGG EASTER,SET OF 3 RABBIT EGG EASTER,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
3658,SET OF 3 RED STRIPE BASKETS,SET OF 3 RED STRIPE BASKETS,"Bags, Storage & Travel",High,LLM only,"Bags, Storage & Travel",High,,
3659,SET OF 3 REGENCY CAKE TINS,SET OF 3 REGENCY CAKE TINS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3660,SET OF 3 SILVER FLYING DUCKS,SET OF 3 SILVER FLYING DUCKS,Home Decor & Furnishings,High,QA keyword correction,Other / Unclear,Medium,,Home Decor & Furnishings
3661,SET OF 3 VINTAGE TEA TIME BOXES,SET OF 3 VINTAGE TEA TIME BOXES,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3662,SET OF 3 WICKER BASKET ROSE,SET OF 3 WICKER BASKET ROSE,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
3663,SET OF 3 WICKER BASKET TEA AND CAKE,SET OF 3 WICKER BASKET TEA AND CAKE,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3664,SET OF 3 WOODEN HEART DECORATIONS,SET OF 3 WOODEN HEART DECORATIONS,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
3665,SET OF 3 WOODEN SLEIGH DECORATIONS,SET OF 3 WOODEN SLEIGH DECORATIONS,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
3666,SET OF 3 WOODEN STOCKING DECORATION,SET OF 3 WOODEN STOCKING DECORATION,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,
3667,SET OF 3 WOODEN TREE DECORATIONS,SET OF 3 WOODEN TREE DECORATIONS,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,
3668,SET OF 36 DINOSAUR PAPER DOILIES,SET OF 36 DINOSAUR PAPER DOILIES,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
3669,SET OF 36 DOILIES PANTRY DESIGN,SET OF 36 DOILIES PANTRY DESIGN,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3670,SET OF 36 DOILIES SPACEBOY DESIGN,SET OF 36 DOILIES SPACEBOY DESIGN,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3671,SET OF 36 MUSHROOM PAPER DOILIES,SET OF 36 MUSHROOM PAPER DOILIES,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3672,SET OF 36 PAISLEY FLOWER DOILIES,SET OF 36 PAISLEY FLOWER DOILIES,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3673,SET OF 36 SILVER PAPER DOILIES,SET OF 36 SILVER PAPER DOILIES,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3674,SET OF 36 TEATIME PAPER DOILIES,SET OF 36 TEATIME PAPER DOILIES,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3675,SET OF 4 BLACK LOVEBIRD COASTERS,SET OF 4 BLACK LOVEBIRD COASTERS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3676,SET OF 4 CAROUSEL PLACEMATS,SET OF 4 CAROUSEL PLACEMATS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3677,SET OF 4 DIAMOND NAPKIN RINGS,SET OF 4 DIAMOND NAPKIN RINGS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3678,SET OF 4 ENGLISH ROSE COASTERS,SET OF 4 ENGLISH ROSE COASTERS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3679,SET OF 4 ENGLISH ROSE PLACEMATS,SET OF 4 ENGLISH ROSE PLACEMATS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3680,SET OF 4 FAIRY CAKE PLACEMATS,SET OF 4 FAIRY CAKE PLACEMATS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3681,SET OF 4 FAIRY CAKES COASTERS,SET OF 4 FAIRY CAKES COASTERS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3682,SET OF 4 GREEN CAROUSEL COASTERS,SET OF 4 GREEN CAROUSEL COASTERS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3683,SET OF 4 JAM JAR MAGNETS,SET OF 4 JAM JAR MAGNETS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3684,SET OF 4 KNICK KNACK TINS DOILY,SET OF 4 KNICK KNACK TINS DOILY,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3685,SET OF 4 KNICK KNACK TINS LEAF,SET OF 4 KNICK KNACK TINS LEAF,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3686,SET OF 4 KNICK KNACK TINS LONDON,SET OF 4 KNICK KNACK TINS LONDON,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3687,SET OF 4 KNICK KNACK TINS POPPIES,SET OF 4 KNICK KNACK TINS POPPIES,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3688,SET OF 4 NAPKIN CHARMS 3 KEYS,SET OF 4 NAPKIN CHARMS 3 KEYS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3689,SET OF 4 NAPKIN CHARMS CROWNS,SET OF 4 NAPKIN CHARMS CROWNS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3690,SET OF 4 NAPKIN CHARMS CUTLERY,SET OF 4 NAPKIN CHARMS CUTLERY,Kitchen & Dining,High,LLM + rule agreement,Kitchen & Dining,High,Kitchen & Dining,
3691,SET OF 4 NAPKIN CHARMS HEARTS,SET OF 4 NAPKIN CHARMS HEARTS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3692,SET OF 4 NAPKIN CHARMS INSTRUMENT,SET OF 4 NAPKIN CHARMS INSTRUMENT,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3693,SET OF 4 NAPKIN CHARMS LEAVES,SET OF 4 NAPKIN CHARMS LEAVES,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3694,SET OF 4 NAPKIN CHARMS STARS,SET OF 4 NAPKIN CHARMS STARS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3695,SET OF 4 NEW ENGLAND COASTERS,SET OF 4 NEW ENGLAND COASTERS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3696,SET OF 4 NEW ENGLAND PLACEMATS,SET OF 4 NEW ENGLAND PLACEMATS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3697,SET OF 4 PANTRY JELLY MOULDS,SET OF 4 PANTRY JELLY MOULDS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3698,SET OF 4 PASTEL STACKING MUGS,SET OF 4 PASTEL STACKING MUGS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3699,SET OF 4 PISTACHIO LOVEBIRD COASTER,SET OF 4 PISTACHIO LOVEBIRD COASTER,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3700,SET OF 4 POLKADOT COASTERS,SET OF 4 POLKADOT COASTERS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3701,SET OF 4 POLKADOT PLACEMATS,SET OF 4 POLKADOT PLACEMATS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3702,SET OF 4 ROSE BOTANICAL CANDLES,SET OF 4 ROSE BOTANICAL CANDLES,Lighting & Candles,High,LLM only,Lighting & Candles,High,,
3703,SET OF 4 SANTA PLACE SETTINGS,SET OF 4 SANTA PLACE SETTINGS,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,
3704,SET OF 5 LUCKY CAT MAGNETS,SET OF 5 LUCKY CAT MAGNETS,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
3705,SET OF 5 MINI GROCERY MAGNETS,SET OF 5 MINI GROCERY MAGNETS,Home Decor & Furnishings,High,LLM only,Home Decor & Furnishings,High,,
3706,SET OF 5 PANCAKE DAY MAGNETS,SET OF 5 PANCAKE DAY MAGNETS,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,
3707,SET OF 6 3D KIT CARDS FOR KIDS,SET OF 6 3D KIT CARDS FOR KIDS,Toys & Children,High,LLM only,Toys & Children,High,,
3708,SET OF 6 CAKE CHOPSTICKS,SET OF 6 CAKE CHOPSTICKS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3709,SET OF 6 DOTS CHOPSTICKS,SET OF 6 DOTS CHOPSTICKS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3710,SET OF 6 EASTER RAINBOW CHICKS,SET OF 6 EASTER RAINBOW CHICKS,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
3711,SET OF 6 FUNKY BEAKERS,SET OF 6 FUNKY BEAKERS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3712,SET OF 6 GIRLS CELEBRATION CANDLES,SET OF 6 GIRLS CELEBRATION CANDLES,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,
3713,SET OF 6 HALLOWEEN GHOST T-LIGHTS,SET OF 6 HALLOWEEN GHOST T-LIGHTS,Seasonal & Celebrations,High,Keyword rule override,Lighting & Candles,High,Seasonal & Celebrations,
3714,SET OF 6 HEART CHOPSTICKS,SET OF 6 HEART CHOPSTICKS,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3715,SET OF 6 HERB TINS SKETCHBOOK,SET OF 6 HERB TINS SKETCHBOOK,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
3716,SET OF 6 ICE CREAM SKITTLES,SET OF 6 ICE CREAM SKITTLES,Food & Beverage,High,LLM only,Food & Beverage,High,,
3717,SET OF 6 KASHMIR FOLKART BAUBLES,SET OF 6 KASHMIR FOLKART BAUBLES,Other / Unclear,Medium,LLM only,Other / Unclear,Medium,,
3718,SET OF 6 NATIVITY MAGNETS,SET OF 6 NATIVITY MAGNETS,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,
3719,SET OF 6 RIBBONS COUNTRY STYLE,SET OF 6 RIBBONS COUNTRY STYLE,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
3720,SET OF 6 RIBBONS PARTY,SET OF 6 RIBBONS PARTY,Seasonal & Celebrations,High,LLM only,Seasonal & Celebrations,High,,
3721,SET OF 6 RIBBONS PERFECTLY PRETTY,SET OF 6 RIBBONS PERFECTLY PRETTY,"Stationery, Crafts & Wrapping",High,LLM only,"Stationery, Crafts & Wrapping",High,,
3722,SET OF 6 RIBBONS VINTAGE CHRISTMAS,SET OF 6 RIBBONS VINTAGE CHRISTMAS,Seasonal & Celebrations,High,LLM + rule agreement,Seasonal & Celebrations,High,Seasonal & Celebrations,
3723,SET OF 6 SNACK LOAF BAKING CASES,SET OF 6 SNACK LOAF BAKING CASES,Kitchen & Dining,High,LLM only,Kitchen & Dining,High,,
3724,SET OF 6 SOLDIER SKITTLES,SET OF 6 SOLDIER SKITTLES,Food & Beverage,High,LLM only,Food & Beverage,High,,
